PeakCoordinates,log2 Fold Change GR (FS30 vs BLAM),p-value,FDR,ClosestGeneID,ClosestGeneName,ClosestGeneDistance,,PeakCoordinates,log2 Fold Change GR (BLPM vs BLAM),p-value,FDR,ClosestGeneID,ClosestGeneName,ClosestGeneDistance
15:11491310-11491880,3.65,3.14E-13,7.93E-13,ENSRNOG00000005883,Nek10,140879,,X:123005864-123006228,3.73,1.29E-06,3.26E-06,ENSRNOG00000050198,Gzmbl1,9252
1:247110324-247111015,4.84,3.21E-13,8.10E-13,ENSRNOG00000010967,Cdc37l1,0,,13:52174774-52175142,3.07,1.31E-06,3.30E-06,ENSRNOG00000051548,Lmod1,0
8:12935557-12936045,5.81,3.31E-13,8.32E-13,ENSRNOG00000024726,Kdm4d,32148,,5:138587007-138587369,3.19,1.36E-06,3.44E-06,ENSRNOG00000061851,Foxj3,18424
19:17552529-17552974,4.48,3.32E-13,8.33E-13,ENSRNOG00000049302,Chd9,57945,,4:157761354-157761786,2.97,1.39E-06,3.49E-06,ENSRNOG00000056448,AABR07062033.1,5497
3:9582366-9582780,5.8,3.35E-13,8.39E-13,ENSRNOG00000056579,AC142138.1,41317,,9:41076380-41076853,2.46,1.40E-06,3.52E-06,ENSRNOG00000014001,Prss40,6452
9:44097236-44097776,5.72,3.36E-13,8.40E-13,ENSRNOG00000018276,Mgat4a,0,,2:235756556-235757214,2.65,1.43E-06,3.57E-06,ENSRNOG00000045743,Etnppl,0
1:261905441-261905816,5.75,3.38E-13,8.44E-13,ENSRNOG00000055885,AC096317.1,16729,,13:73512547-73513132,3.79,1.45E-06,3.61E-06,ENSRNOG00000003882,Cep350,0
4:182124081-182124523,4.27,3.45E-13,8.56E-13,ENSRNOG00000001847,Ccdc91,80489,,2:183263544-183264080,3.14,1.45E-06,3.61E-06,ENSRNOG00000061763,AABR07012039.1,12617
20:13456325-13456660,2.99,3.44E-13,8.56E-13,ENSRNOG00000049734,Slc5a4,0,,7:117846116-117846727,2.5,1.46E-06,3.62E-06,ENSRNOG00000016566,Arhgap39,0
3:176643988-176644528,4.62,3.66E-13,9.06E-13,ENSRNOG00000011624,Kcnq2,0,,5:152573315-152573698,4.53,1.53E-06,3.79E-06,ENSRNOG00000016776,Extl1,60
5:156645787-156646145,4.49,3.84E-13,9.48E-13,ENSRNOG00000014970,Kif17,0,,8:105567361-105567762,2.58,1.54E-06,3.79E-06,ENSRNOG00000037129,AABR07071223.1,40603
19:40091354-40091709,4.01,3.89E-13,9.57E-13,ENSRNOG00000061454,AABR07043776.1,420446,,10:41659663-41660050,2.72,1.53E-06,3.79E-06,ENSRNOG00000038474,RGD1561017,113318
2:177970627-177971019,4.18,4.11E-13,1.01E-12,ENSRNOG00000021581,Rapgef2,0,,11:38281346-38281704,3.7,1.55E-06,3.82E-06,ENSRNOG00000001618,Ripk4,7130
8:122903580-122903891,2.91,4.24E-13,1.04E-12,ENSRNOG00000011201,Cmtm8,0,,3:91758640-91759012,3.64,1.56E-06,3.84E-06,ENSRNOG00000058157,Ldlrad3,0
4:62873575-62874035,4.44,4.27E-13,1.04E-12,ENSRNOG00000011750,Fam180a,13130,,4:179408482-179408821,3.64,1.57E-06,3.85E-06,ENSRNOG00000029308,Lrmp,0
1:153588300-153588741,4.43,4.31E-13,1.05E-12,ENSRNOG00000016848,Fzd4,730,,2:85108143-85108560,3.3,1.59E-06,3.89E-06,ENSRNOG00000052755,U6,99273
17:70358480-70358857,5.98,4.31E-13,1.05E-12,ENSRNOG00000028168,Ankrd16,27850,,10:52753943-52754573,3.05,1.65E-06,4.01E-06,ENSRNOG00000029012,Shisa6,0
6:48391648-48392104,3.56,4.54E-13,1.10E-12,ENSRNOG00000004269,Myt1l,60265,,6:109397716-109398184,3.39,1.70E-06,4.14E-06,ENSRNOG00000008224,Jdp2,67876
16:2018696-2019066,5.73,4.61E-13,1.12E-12,ENSRNOG00000040205,Zcchc24,0,,5:150233812-150234386,3.62,1.72E-06,4.19E-06,ENSRNOG00000010531,Oprd1,53740
8:55179492-55179863,5.8,4.79E-13,1.15E-12,ENSRNOG00000010524,Cryab,0,,17:55203204-55203541,3.25,1.80E-06,4.36E-06,ENSRNOG00000018110,Svil,26757
10:90454632-90455018,4.65,4.74E-13,1.15E-12,ENSRNOG00000021044,Gpatch8,0,,4:84647005-84647408,3.23,1.82E-06,4.39E-06,ENSRNOG00000009571,Wipf3,0
1:221826000-221826368,5.82,4.77E-13,1.15E-12,ENSRNOG00000021103,Nrxn2,0,,16:16694345-16694716,3.11,1.88E-06,4.54E-06,ENSRNOG00000051423,AABR07024790.1,65742
4:30512849-30513288,3.37,5.02E-13,1.20E-12,ENSRNOG00000009197,Asb4,11521,,12:24259296-24259952,3.42,1.91E-06,4.60E-06,ENSRNOG00000001448,Hip1,0
16:1818568-1818951,3.35,5.02E-13,1.20E-12,ENSRNOG00000010488,Zmiz1,0,,11:89142298-89142698,3.54,1.97E-06,4.73E-06,ENSRNOG00000037851,Spidr,0
6:3473456-3473835,4.96,5.07E-13,1.21E-12,ENSRNOG00000007172,Map4k3,28938,,12:16934481-16934938,5.15,2.01E-06,4.79E-06,ENSRNOG00000001277,Mafk,0
6:129808885-129809527,4.3,5.18E-13,1.24E-12,ENSRNOG00000005274,Vrk1,26392,,6:125001617-125001992,3.68,2.01E-06,4.79E-06,ENSRNOG00000004482,Ccdc88c,0
10:81861524-81861898,3.89,5.33E-13,1.27E-12,ENSRNOG00000054653,AABR07030334.1,21287,,6:27802075-27802597,3.26,2.00E-06,4.79E-06,ENSRNOG00000011394,Kif3c,0
4:84599257-84599629,2.46,5.55E-13,1.32E-12,ENSRNOG00000009571,Wipf3,0,,3:5593259-5593591,3.54,2.05E-06,4.87E-06,ENSRNOG00000060916,AC126134.1,8504
6:37577601-37577934,4.22,5.55E-13,1.32E-12,ENSRNOG00000052758,Fam49a,0,,5:62587969-62588528,3.17,2.06E-06,4.89E-06,ENSRNOG00000008431,Gabbr2,0
16:16694345-16694716,3.31,5.85E-13,1.38E-12,ENSRNOG00000051423,AABR07024790.1,65742,,19:47509120-47509461,3.3,2.20E-06,5.20E-06,ENSRNOG00000012428,Maf,685343
1:186554190-186554544,3.8,5.85E-13,1.38E-12,ENSRNOG00000059173,SNORA17,56390,,6:59930218-59930784,3.09,2.23E-06,5.22E-06,ENSRNOG00000004282,Arl4a,17793
16:3625660-3626223,3.97,5.97E-13,1.41E-12,ENSRNOG00000015148,Erc2,0,,3:2136522-2136876,4.78,2.22E-06,5.22E-06,ENSRNOG00000007622,Arrdc1,0
3:2703071-2703502,3.99,6.17E-13,1.45E-12,ENSRNOG00000028730,Lcn12,13032,,8:14524030-14524389,3.22,2.22E-06,5.22E-06,ENSRNOG00000011585,Fat3,0
16:47967883-47968243,5.63,6.50E-13,1.52E-12,ENSRNOG00000056004,SNORA70,13245,,3:164597944-164598492,3.71,2.22E-06,5.22E-06,ENSRNOG00000060501,AABR07054619.1,27449
16:73632533-73632882,5.72,6.87E-13,1.60E-12,ENSRNOG00000018077,Agpat6,0,,1:266679430-266680104,3.17,2.25E-06,5.26E-06,ENSRNOG00000020179,Nt5c2,0
3:123891020-123891327,4.4,6.86E-13,1.60E-12,ENSRNOG00000021250,Rnf24,41233,,10:64106615-64107233,2.98,2.32E-06,5.43E-06,ENSRNOG00000061429,Rph3al,0
3:11448598-11448991,3.67,7.46E-13,1.74E-12,ENSRNOG00000014338,Slc25a25,0,,5:139088159-139088624,3.35,2.36E-06,5.51E-06,ENSRNOG00000009341,Hivep3,10783
7:143706568-143707233,3.76,7.85E-13,1.83E-12,ENSRNOG00000010588,Tns2,4,,3:130941780-130942303,3.09,2.45E-06,5.70E-06,ENSRNOG00000059311,AABR07053850.1,19500
13:71435276-71435710,2.96,8.13E-13,1.88E-12,ENSRNOG00000051975,AABR07021430.1,5291,,2:45716801-45717135,3.92,2.59E-06,6.01E-06,ENSRNOG00000011105,Arl15,0
X:45522289-45522650,5.32,8.33E-13,1.93E-12,ENSRNOG00000026157,RGD1562200,0,,14:76572384-76572843,3.23,2.67E-06,6.17E-06,ENSRNOG00000051169,Clnk,84468
5:172888050-172888553,5.78,9.17E-13,2.12E-12,ENSRNOG00000016618,Tmem52,0,,4:100080946-100081445,4.06,2.83E-06,6.54E-06,ENSRNOG00000010716,Atoh8,0
11:38281346-38281704,4.28,9.28E-13,2.14E-12,ENSRNOG00000001618,Ripk4,7130,,3:148264283-148264981,3.24,2.98E-06,6.85E-06,ENSRNOG00000007946,Bcl2l1,0
6:124343784-124344257,4.23,9.57E-13,2.20E-12,ENSRNOG00000027300,Ttc7b,0,,15:58973315-58973830,3.89,2.98E-06,6.85E-06,ENSRNOG00000057847,AABR07018459.1,138224
8:53067671-53068330,4.34,9.62E-13,2.21E-12,ENSRNOG00000029980,Zbtb16,0,,11:66950496-66950843,3.32,3.01E-06,6.92E-06,ENSRNOG00000002305,Slc15a2,0
12:47138705-47139141,3.75,9.89E-13,2.26E-12,ENSRNOG00000001199,Pop5,0,,9:904220-904528,3.33,3.06E-06,7.01E-06,ENSRNOG00000047886,AABR07066059.2,49983
4:84647005-84647408,3.77,1.00E-12,2.29E-12,ENSRNOG00000009571,Wipf3,0,,7:132477023-132477781,3.08,3.08E-06,7.03E-06,ENSRNOG00000015741,Slc2a13,0
6:29375662-29376143,2.75,1.04E-12,2.36E-12,ENSRNOG00000005371,Klhl29,0,,16:20394212-20394606,2.71,3.16E-06,7.21E-06,ENSRNOG00000022753,Mast3,1239
12:37167243-37167856,4,1.16E-12,2.63E-12,ENSRNOG00000021705,Zfp664,16907,,7:23550495-23551119,3.31,3.32E-06,7.55E-06,ENSRNOG00000026866,Syn3,0
14:84445786-84446641,4.19,1.19E-12,2.70E-12,ENSRNOG00000006394,Tbc1d10a,753,,14:84445786-84446641,3.13,3.34E-06,7.60E-06,ENSRNOG00000006394,Tbc1d10a,753
X:10207071-10207424,5.68,1.21E-12,2.75E-12,ENSRNOG00000009646,Nyx,0,,17:46727804-46728221,3.82,3.37E-06,7.63E-06,ENSRNOG00000059705,Elmo1,0
19:59493104-59493601,4.88,1.23E-12,2.77E-12,ENSRNOG00000049900,Irf2bp2,6275,,3:11770927-11771376,3.19,3.43E-06,7.75E-06,ENSRNOG00000054560,Sh2d3c,0
X:128829075-128829405,4.01,1.26E-12,2.84E-12,ENSRNOG00000057469,AABR07041403.1,52961,,3:30785384-30785708,3.33,3.44E-06,7.77E-06,ENSRNOG00000060164,AABR07051982.2,106989
1:133408984-133409263,4.03,1.30E-12,2.92E-12,ENSRNOG00000009932,Mctp2,0,,4:64570490-64570994,2.64,3.45E-06,7.78E-06,ENSRNOG00000026705,Dgki,0
6:11963547-11963905,3.47,1.35E-12,3.03E-12,ENSRNOG00000048551,AABR07062860.1,30755,,10:84894155-84894702,3.72,3.53E-06,7.93E-06,ENSRNOG00000010492,Sp2,0
3:150581463-150582108,3.07,1.36E-12,3.06E-12,ENSRNOG00000017701,Asip,1594,,4:124699709-124700083,3.4,3.56E-06,7.97E-06,ENSRNOG00000023257,Adamts9,0
5:155484410-155484750,4.25,1.38E-12,3.09E-12,ENSRNOG00000054365,SNORA17,95214,,10:18728910-18729236,3.01,3.74E-06,8.37E-06,ENSRNOG00000005365,Kcnip1,0
5:170641834-170642119,5.66,1.39E-12,3.10E-12,ENSRNOG00000050137,Ajap1,0,,11:63374690-63375064,3.29,3.86E-06,8.61E-06,ENSRNOG00000038987,LOC498084,149705
2:45716801-45717135,4.76,1.45E-12,3.23E-12,ENSRNOG00000011105,Arl15,0,,5:80394877-80395244,3.29,3.92E-06,8.73E-06,ENSRNOG00000051981,SNORA17,160665
1:198103871-198104365,3.48,1.63E-12,3.63E-12,ENSRNOG00000019342,Sult1a1,0,,12:36921495-36922026,3.13,4.05E-06,9.01E-06,ENSRNOG00000001004,Ncor2,0
8:62851944-62852379,4.84,1.72E-12,3.81E-12,ENSRNOG00000008219,Ccdc33,0,,15:24881180-24881594,3.19,4.28E-06,9.49E-06,ENSRNOG00000060872,AABR07017513.1,0
17:20976886-20977416,3.85,1.72E-12,3.81E-12,ENSRNOG00000061345,AABR07027243.1,20567,,20:10727326-10728016,2.88,4.31E-06,9.55E-06,ENSRNOG00000051612,AABR07044570.1,0
5:136501404-136501902,3.79,1.75E-12,3.87E-12,ENSRNOG00000019381,Eri3,0,,12:47138705-47139141,3.51,4.44E-06,9.81E-06,ENSRNOG00000001199,Pop5,0
2:251885083-251885525,3.83,1.77E-12,3.91E-12,ENSRNOG00000026186,Syde2,0,,12:16455313-16455923,3.29,4.74E-06,1.04E-05,ENSRNOG00000001265,Mad1l1,0
3:124226965-124227448,4.07,1.89E-12,4.15E-12,ENSRNOG00000021256,Adra1d,81400,,16:4977999-4978513,3.03,4.71E-06,1.04E-05,ENSRNOG00000031287,Cacna2d3,0
8:116933091-116933438,3.16,1.93E-12,4.23E-12,ENSRNOG00000030714,Bsn,0,,8:118801908-118802301,2.9,4.76E-06,1.05E-05,ENSRNOG00000020915,Setd2,774
2:87995252-87995545,4.47,2.03E-12,4.45E-12,ENSRNOG00000031320,LOC499565,24916,,4:31779916-31780436,3.81,4.81E-06,1.06E-05,ENSRNOG00000009957,Slc25a13,49531
19:57393634-57393996,4.67,2.06E-12,4.51E-12,ENSRNOG00000018836,RGD1559896,2610,,4:74769848-74770220,3.29,5.03E-06,1.10E-05,ENSRNOG00000006617,LOC100364190,555431
10:109596775-109597128,3.97,2.19E-12,4.78E-12,ENSRNOG00000036698,Nploc4,0,,18:51587719-51588215,3.66,5.06E-06,1.10E-05,ENSRNOG00000015225,Gramd3,0
1:175419406-175419771,3.88,2.28E-12,4.95E-12,ENSRNOG00000009812,Sbf2,0,,16:2018696-2019066,4.8,5.07E-06,1.10E-05,ENSRNOG00000040205,Zcchc24,0
1:134655445-134655873,4.09,2.28E-12,4.95E-12,ENSRNOG00000012874,Rgma,43426,,7:29157663-29158053,3.35,5.04E-06,1.10E-05,ENSRNOG00000056493,Mybpc1,0
3:34602343-34602739,3.26,2.29E-12,4.95E-12,ENSRNOG00000059031,7SK,19727,,6:123025698-123026072,3.56,5.58E-06,1.21E-05,ENSRNOG00000060278,Cpg1,8232
5:142216569-142217020,5.56,2.34E-12,5.06E-12,ENSRNOG00000049397,AABR07049880.1,86616,,10:109596775-109597128,3.26,5.77E-06,1.25E-05,ENSRNOG00000036698,Nploc4,0
7:71388345-71388770,2.99,2.39E-12,5.15E-12,ENSRNOG00000033952,Rn60_7_0716.1,9390,,7:129969709-129970219,2.99,5.85E-06,1.26E-05,ENSRNOG00000032871,Mlc1,0
10:83494852-83495210,3.86,2.74E-12,5.91E-12,ENSRNOG00000046799,Phb,5975,,9:73554399-73554733,3.23,5.96E-06,1.28E-05,ENSRNOG00000028362,LOC689991,0
4:89503033-89503642,4.35,2.76E-12,5.93E-12,ENSRNOG00000038449,Tigd2,33005,,6:33627916-33628289,3.65,5.94E-06,1.28E-05,ENSRNOG00000055666,AC142360.1,53755
13:90740537-90740867,5.39,2.78E-12,5.97E-12,ENSRNOG00000007705,Kcnj10,0,,17:20976886-20977416,3.12,6.11E-06,1.31E-05,ENSRNOG00000061345,AABR07027243.1,20567
2:141819566-141819881,4.37,3.10E-12,6.64E-12,ENSRNOG00000058636,AABR07010589.1,43957,,5:105054703-105055103,3.85,6.30E-06,1.35E-05,ENSRNOG00000060003,7SK,39112
16:20212427-20212733,2.49,3.12E-12,6.66E-12,ENSRNOG00000050776,5S_rRNA,6423,,7:71388345-71388770,2.66,6.41E-06,1.37E-05,ENSRNOG00000033952,Rn60_7_0716.1,9390
18:63236983-63237359,4.29,3.13E-12,6.68E-12,ENSRNOG00000025324,Spire1,0,,3:162630561-162631001,2.96,6.44E-06,1.37E-05,ENSRNOG00000051007,AABR07054586.1,22758
10:41659663-41660050,2.95,3.16E-12,6.72E-12,ENSRNOG00000038474,RGD1561017,113318,,7:134591551-134591994,3.41,6.69E-06,1.42E-05,ENSRNOG00000004996,Zcrb1,0
5:80394877-80395244,3.69,3.19E-12,6.78E-12,ENSRNOG00000051981,SNORA17,160665,,4:151481323-151481894,3.38,6.70E-06,1.42E-05,ENSRNOG00000008168,Wnt5b,19063
3:2136522-2136876,5.52,3.21E-12,6.81E-12,ENSRNOG00000007622,Arrdc1,0,,3:154677549-154677982,3.12,6.67E-06,1.42E-05,ENSRNOG00000014424,RGD1563354,4300
20:47076828-47077276,5.1,3.50E-12,7.40E-12,ENSRNOG00000043033,Lace1,0,,5:170641834-170642119,4.45,6.65E-06,1.42E-05,ENSRNOG00000050137,Ajap1,0
8:28818431-28818809,3.07,3.81E-12,8.05E-12,ENSRNOG00000031438,Spata19,358597,,10:11290687-11291127,2.76,6.82E-06,1.44E-05,ENSRNOG00000005269,Srl,6356
3:22920637-22921037,3.61,4.06E-12,8.56E-12,ENSRNOG00000011732,Psmb7,0,,19:30936209-30936671,3.66,6.86E-06,1.44E-05,ENSRNOG00000018149,Smarca5,32
12:25639447-25639764,3.74,4.22E-12,8.87E-12,ENSRNOG00000001484,Gatsl2,651,,10:90454632-90455018,3.62,6.80E-06,1.44E-05,ENSRNOG00000021044,Gpatch8,0
9:27025056-27025395,5.51,4.24E-12,8.90E-12,ENSRNOG00000057549,SNORA17,5743,,17:22022757-22023180,3.43,7.15E-06,1.50E-05,ENSRNOG00000060618,AABR07027267.1,0
3:30785384-30785708,3.89,4.32E-12,9.05E-12,ENSRNOG00000060164,AABR07051982.2,106989,,2:141710435-141710806,3.13,7.47E-06,1.57E-05,ENSRNOG00000054842,AABR07010587.1,69999
2:197794365-197795052,4.11,4.42E-12,9.24E-12,ENSRNOG00000049385,Adamtsl4,8532,,2:29356788-29357285,3.05,7.55E-06,1.58E-05,ENSRNOG00000017249,Zfp366,53294
7:132477023-132477781,3.97,4.45E-12,9.28E-12,ENSRNOG00000015741,Slc2a13,0,,5:105518195-105518593,2.84,7.63E-06,1.59E-05,ENSRNOG00000008169,Slc24a2,0
4:27803824-27804268,4.7,4.49E-12,9.34E-12,ENSRNOG00000009258,Cdk6,0,,2:177970627-177971019,3.33,7.76E-06,1.62E-05,ENSRNOG00000021581,Rapgef2,0
11:66749038-66749490,3.83,4.53E-12,9.42E-12,ENSRNOG00000038881,Hcls1,0,,1:141944199-141944692,3.53,8.10E-06,1.68E-05,ENSRNOG00000056324,LOC102548818,0
4:131610505-131610858,5.63,4.55E-12,9.43E-12,ENSRNOG00000009184,Foxp1,0,,5:105366884-105367388,2.83,8.14E-06,1.69E-05,ENSRNOG00000008169,Slc24a2,0
13:71606979-71607755,5.2,4.77E-12,9.87E-12,ENSRNOG00000054898,AABR07021433.1,0,,18:13951347-13951840,2.91,8.23E-06,1.70E-05,ENSRNOG00000014775,Nol4,0
14:7617445-7617933,3.67,4.91E-12,1.01E-11,ENSRNOG00000060245,1700016H13Rik,0,,5:145928986-145929411,2.88,8.23E-06,1.70E-05,ENSRNOG00000048129,LOC682102,94285
1:87356655-87357222,3.48,4.94E-12,1.02E-11,ENSRNOG00000020703,Sipa1l3,0,,12:48105910-48106328,3.75,8.47E-06,1.75E-05,ENSRNOG00000000691,Foxn4,0
2:82845789-82846190,3.53,5.35E-12,1.10E-11,ENSRNOG00000059117,AABR07009002.1,72635,,10:83494852-83495210,3.13,8.46E-06,1.75E-05,ENSRNOG00000046799,Phb,5975
2:8972291-8972802,3.21,5.49E-12,1.13E-11,ENSRNOG00000016306,Adgrv1,0,,9:87005874-87006341,3.12,8.58E-06,1.76E-05,ENSRNOG00000023765,Nyap2,0
3:12973355-12973713,5.52,5.52E-12,1.13E-11,ENSRNOG00000017172,Mvb12b,28862,,9:81285190-81285852,3.56,8.62E-06,1.77E-05,ENSRNOG00000014182,Tns1,0
16:20394212-20394606,3.34,5.54E-12,1.13E-11,ENSRNOG00000022753,Mast3,1239,,3:125322777-125323230,2.87,8.62E-06,1.77E-05,ENSRNOG00000021268,1110034G24Rik,0
20:32199868-32200245,3.43,6.04E-12,1.23E-11,ENSRNOG00000000395,LOC606294,0,,8:28818431-28818809,2.7,8.80E-06,1.80E-05,ENSRNOG00000031438,Spata19,358597
3:81777040-81777462,4.82,6.25E-12,1.27E-11,ENSRNOG00000060152,AABR07052894.1,22902,,4:89503033-89503642,3.38,8.82E-06,1.80E-05,ENSRNOG00000038449,Tigd2,33005
5:8027841-8028571,4.51,6.83E-12,1.39E-11,ENSRNOG00000059745,SNORA66,14861,,11:69875461-69875857,3.74,9.10E-06,1.85E-05,ENSRNOG00000001706,Kalrn,0
8:39500835-39501170,5.66,6.96E-12,1.41E-11,ENSRNOG00000028856,Pknox2,0,,7:11919463-11919894,2.56,9.26E-06,1.88E-05,ENSRNOG00000029028,Mknk2,308
17:22022757-22023180,4.23,7.51E-12,1.52E-11,ENSRNOG00000060618,AABR07027267.1,0,,1:73760316-73760847,3.65,9.26E-06,1.88E-05,ENSRNOG00000032699,Ttyh1,7189
14:48730965-48731289,4.13,8.17E-12,1.65E-11,ENSRNOG00000056826,Arap2,0,,9:36988871-36989409,2.77,9.44E-06,1.91E-05,ENSRNOG00000011124,AABR07067267.1,67719
10:107316998-107317433,3.68,8.25E-12,1.67E-11,ENSRNOG00000028255,Usp36,0,,2:200433279-200433627,2.93,9.52E-06,1.92E-05,ENSRNOG00000019120,Hmgcs2,18997
15:74710797-74711148,2.46,8.29E-12,1.67E-11,ENSRNOG00000056306,SNORA17,13017,,5:56987252-56987626,4.22,9.60E-06,1.93E-05,ENSRNOG00000006582,Aptx,283
3:111535901-111536540,2.98,8.60E-12,1.73E-11,ENSRNOG00000005183,Rtf1,0,,19:57393634-57393996,3.52,9.61E-06,1.93E-05,ENSRNOG00000018836,RGD1559896,2610
X:111865147-111865495,4.02,8.92E-12,1.79E-11,ENSRNOG00000056135,Tsc22d3,18800,,17:7322243-7322646,2.99,9.68E-06,1.95E-05,ENSRNOG00000053948,AABR07026969.1,279658
11:74137387-74137831,5.44,9.02E-12,1.81E-11,ENSRNOG00000024384,Cpn2,69975,,14:48730965-48731289,3.5,9.78E-06,1.96E-05,ENSRNOG00000056826,Arap2,0
8:14524030-14524389,3.67,9.31E-12,1.86E-11,ENSRNOG00000011585,Fat3,0,,4:150378427-150378939,2.78,1.01E-05,2.02E-05,ENSRNOG00000006576,Bms1,54631
20:10727326-10728016,3.79,9.34E-12,1.87E-11,ENSRNOG00000051612,AABR07044570.1,0,,10:76016778-76017129,4.35,1.01E-05,2.02E-05,ENSRNOG00000025338,Msi2,0
7:83605053-83605526,4.27,9.50E-12,1.89E-11,ENSRNOG00000004200,Sybu,0,,3:94035036-94035420,3.44,1.02E-05,2.04E-05,ENSRNOG00000010963,RGD1563222,485
2:198682711-198683105,3.93,9.51E-12,1.89E-11,ENSRNOG00000037223,AABR07012592.1,4,,10:59135858-59136336,2.84,1.03E-05,2.06E-05,ENSRNOG00000059449,Metazoa_SRP,15348
10:57332062-57332502,3.94,9.93E-12,1.97E-11,ENSRNOG00000031364,Kif1c,0,,X:23584114-23584514,2.83,1.04E-05,2.07E-05,ENSRNOG00000024322,Shroom2,0
16:3901502-3902048,3.81,1.04E-11,2.07E-11,ENSRNOG00000010984,Anxa11,0,,3:124226965-124227448,3.09,1.05E-05,2.08E-05,ENSRNOG00000021256,Adra1d,81400
12:39738199-39738601,4.72,1.06E-11,2.09E-11,ENSRNOG00000021440,Pptc7,0,,15:6202706-6203106,3.75,1.10E-05,2.17E-05,ENSRNOG00000014661,Zfp385d,0
14:81007325-81007618,5.12,1.06E-11,2.09E-11,ENSRNOG00000030568,Rgs12,0,,3:140476374-140476860,2.75,1.10E-05,2.18E-05,ENSRNOG00000036964,Ralgapa2,0
20:26115202-26115525,3.82,1.09E-11,2.15E-11,ENSRNOG00000026466,Lrrtm3,0,,1:222734175-222734525,2.79,1.12E-05,2.20E-05,ENSRNOG00000021202,Rtn3,0
9:114943726-114944208,3.55,1.12E-11,2.20E-11,ENSRNOG00000011700,Ptprm,0,,1:260945025-260945522,2.78,1.13E-05,2.23E-05,ENSRNOG00000026065,Slit1,0
8:65031651-65032157,3.37,1.13E-11,2.22E-11,ENSRNOG00000051221,Rn60_8_0647.2,28356,,10:25910099-25910648,3.34,1.16E-05,2.27E-05,ENSRNOG00000003256,Ccng1,0
2:32758274-32759131,4.03,1.14E-11,2.24E-11,ENSRNOG00000010266,Cd180,61191,,9:93461479-93461971,2.09,1.16E-05,2.27E-05,ENSRNOG00000018559,LOC501180,15060
20:8020191-8020560,4.25,1.15E-11,2.26E-11,ENSRNOG00000022523,Fkbp5,1172,,15:59502446-59502764,3.29,1.15E-05,2.27E-05,ENSRNOG00000047817,Enox1,175401
15:71642904-71643331,4.34,1.43E-11,2.80E-11,ENSRNOG00000013306,Pcdh20,129446,,4:84599257-84599629,2.2,1.17E-05,2.28E-05,ENSRNOG00000009571,Wipf3,0
15:59502446-59502764,3.76,1.44E-11,2.80E-11,ENSRNOG00000047817,Enox1,175401,,19:58824930-58825275,3.41,1.19E-05,2.32E-05,ENSRNOG00000019937,Kcnk1,0
19:11908476-11909177,4.48,1.45E-11,2.82E-11,ENSRNOG00000061917,AABR07042840.1,121699,,20:13456325-13456660,2.48,1.21E-05,2.36E-05,ENSRNOG00000049734,Slc5a4,0
12:37830944-37831291,3.3,1.52E-11,2.95E-11,ENSRNOG00000029260,Pitpnm2,0,,8:57339787-57340123,3.21,1.22E-05,2.37E-05,ENSRNOG00000058231,U6,16316
7:120332349-120332659,5.12,1.60E-11,3.09E-11,ENSRNOG00000055700,AC096473.3,0,,11:73080450-73080786,3.4,1.23E-05,2.39E-05,ENSRNOG00000001730,Acap2,0
6:96485603-96486187,3.71,1.66E-11,3.22E-11,ENSRNOG00000004873,Prkch,0,,15:34196182-34196556,3.81,1.25E-05,2.43E-05,ENSRNOG00000018528,Nrl,637
3:162595576-162595904,4.09,1.69E-11,3.27E-11,ENSRNOG00000051007,AABR07054586.1,11807,,3:34602343-34602739,2.7,1.27E-05,2.46E-05,ENSRNOG00000059031,7SK,19727
X:29627570-29627867,4.1,1.83E-11,3.52E-11,ENSRNOG00000004613,Gpm6b,0,,3:122725920-122726341,3.21,1.30E-05,2.52E-05,ENSRNOG00000007017,Tmc2,0
3:154677549-154677982,4.3,1.83E-11,3.52E-11,ENSRNOG00000014424,RGD1563354,4300,,7:11677721-11678088,2.97,1.35E-05,2.60E-05,ENSRNOG00000019682,Timm13,0
4:179004768-179005148,4.68,2.10E-11,4.04E-11,ENSRNOG00000059511,SNORA17,49668,,13:35554597-35554946,4.01,1.36E-05,2.60E-05,ENSRNOG00000047257,Tmem185b,18
8:111439065-111439395,4.96,2.30E-11,4.40E-11,ENSRNOG00000008593,Ryk,41199,,3:150581463-150582108,2.26,1.38E-05,2.65E-05,ENSRNOG00000017701,Asip,1594
10:55734469-55734829,3.91,2.46E-11,4.71E-11,ENSRNOG00000007454,Aloxe3,0,,5:4432429-4432857,2.64,1.40E-05,2.67E-05,ENSRNOG00000007590,Eya1,0
7:11677721-11678088,3.95,2.50E-11,4.77E-11,ENSRNOG00000019682,Timm13,0,,4:168749978-168750585,2.52,1.40E-05,2.67E-05,ENSRNOG00000007830,Apold1,1548
16:71688820-71689318,3.17,2.55E-11,4.86E-11,ENSRNOG00000016423,Tacc1,7695,,4:122365897-122366331,3.76,1.45E-05,2.76E-05,ENSRNOG00000017808,Klf15,0
5:59087768-59088186,4.19,2.57E-11,4.89E-11,ENSRNOG00000016309,Rgp1,0,,17:76144623-76144926,2.56,1.45E-05,2.77E-05,ENSRNOG00000045553,Proser2,4222
8:106021807-106022362,3.52,2.64E-11,5.01E-11,ENSRNOG00000013585,Nmnat3,294762,,3:8831574-8832210,2.93,1.49E-05,2.83E-05,ENSRNOG00000016794,Phyhd1,530
