PeakCoordinates,log2 Fold Change MR (FS30 vs BLAM),p-value,FDR,ClosestGeneID,ClosestGeneName,ClosestGeneDistance,,PeakCoordinates,log2 Fold Change MR (BLPM vs BLAM),p-value,FDR,ClosestGeneID,ClosestGeneName,ClosestGeneDistance
3:131872568-131873160,0.44,0.227,0.297,ENSRNOG00000027574,AABR07053879.1,179452,,2:261402840-261403192,0.92,0.0969,0.1270,ENSRNOG00000009548,Fpgt,0
16:78833189-78833504,0.58,0.227,0.297,ENSRNOG00000030719,Csmd1,0,,16:83283812-83284283,0.74,0.101,0.1320,ENSRNOG00000014526,Cars2,4381
1:261802684-261803127,0.56,0.231,0.302,ENSRNOG00000051256,R3hcc1l,0,,5:142574538-142575007,0.78,0.101,0.1330,ENSRNOG00000046811,AABR07049886.1,15141
19:59599756-59600105,0.77,0.23,0.302,ENSRNOG00000061610,AABR07044148.1,56124,,18:22873660-22874013,0.87,0.103,0.1340,ENSRNOG00000017840,Pik3c3,90197
20:12128592-12128954,0.55,0.237,0.310,ENSRNOG00000001228,Pofut2,0,,4:2053180-2053938,0.78,0.103,0.1350,ENSRNOG00000057275,AABR07059024.1,0
9:27214519-27214990,0.6,0.238,0.310,ENSRNOG00000052150,AABR07067034.1,1348,,13:99136503-99137158,0.53,0.104,0.1360,ENSRNOG00000003247,Sde2,0
6:110914911-110915542,0.51,0.237,0.310,ENSRNOG00000061785,AABR07065124.2,523,,4:168750198-168750573,1.13,0.106,0.1380,ENSRNOG00000007830,Apold1,1560
10:89338821-89339230,0.44,0.238,0.311,ENSRNOG00000023768,Rundc1,0,,15:60766456-60767148,0.64,0.106,0.1380,ENSRNOG00000009987,Akap11,0
4:48523429-48523822,0.8,0.24,0.313,ENSRNOG00000059016,Tspan12,329005,,2:206453672-206454125,1.32,0.107,0.1390,ENSRNOG00000019785,Phtf1,83
5:58389979-58390459,0.43,0.244,0.317,ENSRNOG00000000130,Dnajb5,2774,,10:82761874-82762301,1.39,0.109,0.1420,ENSRNOG00000003897,Col1a1,0
3:161498740-161499169,0.49,0.244,0.317,ENSRNOG00000017824,Ncoa5,0,,7:116872438-116872781,0.85,0.11,0.1430,ENSRNOG00000007684,Zc3h3,0
13:78044916-78045392,0.84,0.245,0.319,ENSRNOG00000002736,Rabgap1l,0,,16:20212102-20212853,1.01,0.11,0.1430,ENSRNOG00000050776,5S_rRNA,6098
12:28785259-28785676,0.75,0.247,0.320,ENSRNOG00000024435,Wbscr17,0,,10:107242489-107242907,0.77,0.111,0.1440,ENSRNOG00000043381,Cyth1,0
5:147148441-147148859,0.5,0.247,0.320,ENSRNOG00000051507,Azin2,151,,6:97176139-97176487,1.01,0.111,0.1450,ENSRNOG00000056012,Syt16,0
19:61134807-61135133,0.86,0.247,0.320,ENSRNOG00000051801,AABR07044167.1,173860,,7:34484809-34485252,0.69,0.115,0.1490,ENSRNOG00000055887,AABR07056643.2,0
3:55886555-55886868,1.04,0.25,0.324,ENSRNOG00000007127,Bbs5,0,,12:11478021-11478357,1.24,0.116,0.1500,ENSRNOG00000000999,Smurf1,0
1:100413408-100413780,0.5,0.252,0.326,ENSRNOG00000019318,Syt3,5326,,2:235831468-235832041,0.54,0.116,0.1500,ENSRNOG00000023322,Ostc,0
10:84976028-84976552,0.53,0.254,0.329,ENSRNOG00000009902,Lrrc46,0,,5:171261867-171262340,1.05,0.116,0.1500,ENSRNOG00000025030,Dffb,0
13:46693502-46693897,0.4,0.256,0.331,ENSRNOG00000003878,Thsd7b,0,,18:14807496-14807922,0.56,0.116,0.1500,ENSRNOG00000047261,LOC100911918,0
4:169035326-169035733,0.45,0.258,0.333,ENSRNOG00000008518,Gsg1,0,,9:82197831-82198173,0.69,0.119,0.1540,ENSRNOG00000056996,Ccdc108,2110
7:116872438-116872781,0.67,0.259,0.334,ENSRNOG00000007684,Zc3h3,0,,12:19221215-19221651,0.81,0.119,0.1540,ENSRNOG00000060512,AABR07035541.2,6967
9:82197831-82198173,0.56,0.261,0.337,ENSRNOG00000056996,Ccdc108,2110,,3:140141636-140142050,0.68,0.121,0.1550,ENSRNOG00000010587,Crnkl1,0
1:180896385-180897065,0.7,0.263,0.339,ENSRNOG00000039241,Ythdc2,1188834,,8:27685017-27685388,0.62,0.121,0.1560,ENSRNOG00000007142,B3gat1,91791
7:116782068-116782482,0.55,0.264,0.340,ENSRNOG00000007668,Mafa,303,,1:181198908-181199768,-0.6,0.124,0.1590,ENSRNOG00000039241,Ythdc2,886131
1:47191703-47192047,0.81,0.267,0.343,ENSRNOG00000018158,Tmem181,0,,16:21858734-21859070,-2.5,0.124,0.1590,ENSRNOG00000055634,AABR07024908.1,51209
3:41614-41966,-0.46,0.267,0.343,ENSRNOG00000058456,AABR07051177.1,31364,,2:49476615-49477203,0.81,0.124,0.1600,ENSRNOG00000046657,LOC100910954,92515
1:56949415-56949830,0.4,0.271,0.348,ENSRNOG00000015597,LOC100125364,0,,8:66359171-66359541,0.71,0.125,0.1600,ENSRNOG00000053265,AABR07070341.2,786
6:21741935-21742308,0.98,0.271,0.348,ENSRNOG00000042932,Ttc27,0,,12:39420009-39420432,1.08,0.126,0.1620,ENSRNOG00000001294,Ift81,3164
2:27793385-27793837,0.46,0.271,0.348,ENSRNOG00000051888,AABR07007775.1,8773,,14:82309892-82310228,0.82,0.127,0.1630,ENSRNOG00000055144,U6,12332
3:138024160-138024649,0.96,0.273,0.350,ENSRNOG00000005924,Dstn,0,,1:219345317-219345730,0.55,0.13,0.1670,ENSRNOG00000018391,Cdk2ap2,188
1:11910798-11911343,1.34,0.273,0.350,ENSRNOG00000052007,pRNA,4194,,1:199216490-199216927,0.57,0.13,0.1670,ENSRNOG00000039730,Orai3,89
20:37700892-37701291,0.48,0.274,0.351,ENSRNOG00000000802,Tbc1d32,0,,1:72860871-72861313,0.76,0.131,0.1680,ENSRNOG00000018217,Syt5,0
1:55715740-55716639,0.79,0.275,0.352,ENSRNOG00000054834,AABR07001734.1,0,,3:150581466-150582194,0.4,0.132,0.1690,ENSRNOG00000017701,Asip,1597
2:49363930-49364396,1.02,0.277,0.354,ENSRNOG00000046657,LOC100910954,18019,,1:187821374-187821877,0.82,0.133,0.1700,ENSRNOG00000047386,Smg1,0
16:7082028-7082376,0.8,0.278,0.355,ENSRNOG00000018075,Spcs1,0,,10:45417345-45417696,0.88,0.134,0.1720,ENSRNOG00000058068,Obscn,0
4:6878856-6879591,-0.78,0.278,0.355,ENSRNOG00000051749,U6,1039,,17:76144609-76144929,0.69,0.135,0.1730,ENSRNOG00000045553,Proser2,4208
18:71422919-71423434,0.73,0.281,0.358,ENSRNOG00000018359,Smad7,0,,16:59574112-59574560,0.66,0.136,0.1730,ENSRNOG00000053706,Lonrf1,0
18:62121507-62121997,0.55,0.283,0.360,ENSRNOG00000018770,Pmaip1,52673,,5:144106643-144107080,0.88,0.136,0.1740,ENSRNOG00000025716,Lsm10,0
1:71292655-71292972,0.87,0.282,0.360,ENSRNOG00000033906,Zfp667,2319,,4:58425753-58426129,0.99,0.137,0.1750,ENSRNOG00000054990,AABR07060133.1,0
4:48512725-48513359,0.61,0.283,0.360,ENSRNOG00000059016,Tspan12,339468,,2:235257608-235258007,0.65,0.137,0.1750,ENSRNOG00000061146,Gar1,0
7:109579318-109579746,0.57,0.285,0.362,ENSRNOG00000031680,AABR07058301.1,167434,,14:107302895-107303483,0.62,0.138,0.1760,ENSRNOG00000009220,Tmem17,0
2:148150609-148151008,0.5,0.287,0.364,ENSRNOG00000017427,Pfn2,100172,,2:32758446-32759077,1.71,0.14,0.1780,ENSRNOG00000010266,Cd180,61245
3:148137332-148137721,0.47,0.287,0.364,ENSRNOG00000059752,AABR07072936.1,4915,,14:77492533-77492916,0.95,0.141,0.1790,ENSRNOG00000006139,Stx18,0
5:140108444-140108876,0.58,0.287,0.365,ENSRNOG00000027921,Rlf,0,,17:88095160-88095751,0.61,0.141,0.1790,ENSRNOG00000018631,Enkur,0
16:26859009-26859384,0.64,0.288,0.365,ENSRNOG00000032297,Msmo1,13,,4:158450506-158450833,0.73,0.141,0.1790,ENSRNOG00000023561,LOC100361584,0
5:148780926-148781270,0.42,0.29,0.366,ENSRNOG00000011709,Pum1,0,,6:24214016-24214436,0.9,0.143,0.1810,ENSRNOG00000053778,AABR07063248.1,12153
1:7101529-7101850,0.48,0.289,0.366,ENSRNOG00000014908,Sf3b5,0,,10:83456061-83456420,0.91,0.145,0.1830,ENSRNOG00000046799,Phb,19687
5:144067223-144067712,0.46,0.289,0.366,ENSRNOG00000026978,Oscp1,0,,15:47988790-47989400,0.71,0.144,0.1830,ENSRNOG00000050046,AABR07018226.1,23905
16:37749203-37750108,0.51,0.289,0.366,ENSRNOG00000049792,Glra3,0,,13:96355015-96355414,0.76,0.147,0.1850,ENSRNOG00000042201,Efcab2,0
X:358546-359794,-1.33,0.291,0.368,ENSRNOG00000054596,AABR07036679.1,98251,,3:52290762-52291148,0.92,0.149,0.1880,ENSRNOG00000005868,Ttc21b,0
4:152391755-152392227,0.54,0.292,0.369,ENSRNOG00000009264,Erc1,11572,,3:148137332-148137721,0.63,0.148,0.1880,ENSRNOG00000059752,AABR07072936.1,4915
16:21858734-21859070,-1.35,0.295,0.373,ENSRNOG00000055634,AABR07024908.1,51209,,1:72546051-72546492,0.56,0.151,0.1900,ENSRNOG00000016877,Shisa7,0
7:120295391-120295738,0.5,0.296,0.373,ENSRNOG00000055700,AC096473.3,0,,17:5371458-5371899,1.1,0.152,0.1920,ENSRNOG00000018400,Golm1,10135
6:71773838-71774231,0.47,0.296,0.373,ENSRNOG00000059058,AABR07064264.1,61068,,20:48503937-48504401,0.47,0.158,0.1990,ENSRNOG00000000581,Cdc40,0
11:53731634-53732037,0.42,0.298,0.375,ENSRNOG00000001958,Ift57,0,,6:7421423-7421713,0.61,0.158,0.1990,ENSRNOG00000005067,LOC100911319,0
3:100365855-100366298,0.45,0.298,0.375,ENSRNOG00000005037,Kif18a,0,,12:31508488-31508888,0.76,0.163,0.2050,ENSRNOG00000022893,Rimbp2,21811
7:12917860-12918190,0.62,0.298,0.375,ENSRNOG00000008296,Tpgs1,0,,9:27121365-27121715,0.95,0.165,0.2080,ENSRNOG00000013046,LOC100361830,0
2:26320345-26320827,0.53,0.299,0.376,ENSRNOG00000025406,Iqgap2,0,,1:226353535-226353949,0.54,0.169,0.2130,ENSRNOG00000027264,Dagla,0
5:159734780-159735190,0.37,0.307,0.386,ENSRNOG00000023346,Rsg1,0,,9:105032446-105032847,0.62,0.17,0.2140,ENSRNOG00000031146,Slco6d1,162065
2:221371957-221372419,0.51,0.308,0.387,ENSRNOG00000060752,AABR07013073.3,32240,,14:85413749-85414309,0.88,0.171,0.2140,ENSRNOG00000033575,Emid1,15218
13:50858952-50859410,0.59,0.31,0.388,ENSRNOG00000003183,Fmod,14195,,2:49370638-49370957,-1.47,0.171,0.2140,ENSRNOG00000046657,LOC100910954,11458
1:173780820-173781282,0.43,0.31,0.388,ENSRNOG00000014629,Lmo1,16571,,16:37749203-37750108,-0.76,0.17,0.2140,ENSRNOG00000049792,Glra3,0
5:76150538-76150998,0.49,0.31,0.388,ENSRNOG00000015340,Dnajc25,0,,10:106971168-106971591,0.46,0.175,0.2190,ENSRNOG00000002946,Socs3,3587
2:195724759-195725103,-0.41,0.311,0.389,ENSRNOG00000020875,Celf3,0,,13:46693502-46693897,0.47,0.175,0.2190,ENSRNOG00000003878,Thsd7b,0
4:66165530-66165864,0.4,0.312,0.390,ENSRNOG00000005564,Ubn2,0,,8:14522850-14523200,0.8,0.175,0.2190,ENSRNOG00000011585,Fat3,0
13:33485686-33486005,-0.91,0.312,0.390,ENSRNOG00000053423,N/A,662798,,14:83067777-83068335,0.64,0.176,0.2200,ENSRNOG00000055471,Ywhah,5354
6:7421423-7421713,0.42,0.314,0.392,ENSRNOG00000005067,LOC100911319,0,,1:238592670-238593048,0.88,0.177,0.2210,ENSRNOG00000051262,Tmc1,151171
1:165122089-165122617,0.32,0.315,0.393,ENSRNOG00000018411,Pold3,0,,1:212547207-212547642,0.8,0.178,0.2220,ENSRNOG00000018337,Caly,0
17:74912805-74913253,0.76,0.319,0.397,ENSRNOG00000055896,U6,111173,,2:187522120-187522493,0.45,0.178,0.2220,ENSRNOG00000031778,Mef2d,0
1:180719322-180719705,-0.74,0.326,0.406,ENSRNOG00000039241,Ythdc2,1366194,,5:173098849-173099285,0.67,0.179,0.2230,ENSRNOG00000017564,Mib2,34
8:23416371-23416803,0.58,0.328,0.408,ENSRNOG00000026979,RGD1561444,0,,4:6878856-6879591,-1.8,0.182,0.2260,ENSRNOG00000051749,U6,1039
19:25307881-25308286,0.49,0.327,0.408,ENSRNOG00000035644,Mir23a,10296,,5:123499530-123499956,0.62,0.182,0.2260,ENSRNOG00000055591,AABR07049491.1,163422
1:214182526-214182958,0.38,0.329,0.409,ENSRNOG00000016697,Lrrc56,0,,1:196883777-196884172,0.48,0.182,0.2270,ENSRNOG00000015218,Nsmce1,0
14:77492533-77492916,0.68,0.334,0.414,ENSRNOG00000006139,Stx18,0,,5:76150538-76150998,0.52,0.182,0.2270,ENSRNOG00000015340,Dnajc25,0
1:191948823-191949152,0.74,0.333,0.414,ENSRNOG00000060008,Cog7,0,,19:25925422-25925762,0.69,0.185,0.2290,ENSRNOG00000033368,Dand5,4839
17:31435358-31435687,0.81,0.334,0.415,ENSRNOG00000017445,Tubb2b,5943,,4:157612227-157612596,0.47,0.188,0.2330,ENSRNOG00000018309,Chd4,0
12:48286160-48286607,0.34,0.336,0.416,ENSRNOG00000028556,Usp30,0,,1:78249367-78249907,0.58,0.189,0.2340,ENSRNOG00000048848,Ccdc9,25049
1:56024210-56024750,-0.45,0.336,0.417,ENSRNOG00000013671,Vom2r9,128575,,10:108340676-108341022,0.63,0.191,0.2360,ENSRNOG00000059401,AABR07030897.1,0
16:83283812-83284283,0.46,0.337,0.417,ENSRNOG00000014526,Cars2,4381,,19:49518473-49518902,0.57,0.192,0.2380,ENSRNOG00000045541,LOC687399,0
10:97209920-97210472,0.34,0.337,0.417,ENSRNOG00000055010,Axin2,1960,,10:10808204-10808630,0.64,0.193,0.2390,ENSRNOG00000028075,LOC360479,0
18:40123385-40123789,0.45,0.338,0.419,ENSRNOG00000016612,Trim36,0,,3:110696945-110697344,0.91,0.195,0.2410,ENSRNOG00000009421,Ivd,6773
1:219345317-219345730,0.44,0.343,0.423,ENSRNOG00000018391,Cdk2ap2,188,,11:87548700-87549129,0.58,0.196,0.2420,ENSRNOG00000001876,Ccdc74a,0
13:72727096-72727644,0.44,0.343,0.424,ENSRNOG00000057771,U6,6788,,7:139762400-139762787,0.59,0.196,0.2420,ENSRNOG00000021945,Ccdc184,0
18:14807496-14807922,0.41,0.347,0.428,ENSRNOG00000047261,LOC100911918,0,,5:25395089-25395433,0.48,0.2,0.2460,ENSRNOG00000015562,Cdh17,0
1:181072461-181073077,1.06,0.35,0.432,ENSRNOG00000039241,Ythdc2,1012822,,7:127136285-127136629,1.16,0.201,0.2470,ENSRNOG00000017057,Tbc1d22a,0
10:57184751-57185040,0.49,0.353,0.435,ENSRNOG00000033508,Mink1,307,,1:101774382-101774781,0.57,0.2,0.2470,ENSRNOG00000021046,Sult2b1,875
1:281101610-281102128,0.43,0.355,0.436,ENSRNOG00000009523,Rab11fip2,173,,11:82147562-82148061,0.72,0.205,0.2520,ENSRNOG00000001796,Dgkg,0
9:92435590-92436078,0.32,0.354,0.436,ENSRNOG00000017053,Fbxo36,0,,1:220475838-220476381,0.37,0.206,0.2530,ENSRNOG00000020247,Cnih2,0
1:129244283-129244578,0.68,0.355,0.437,ENSRNOG00000022822,Fam169b,10818,,9:10995179-10995630,0.45,0.206,0.2530,ENSRNOG00000048509,Ubxn6,0
1:65520649-65521615,0.43,0.357,0.439,ENSRNOG00000027550,Mzf1,503,,6:123655924-123656402,0.38,0.209,0.2570,ENSRNOG00000004709,Foxn3,78230
17:88095160-88095751,0.41,0.358,0.440,ENSRNOG00000018631,Enkur,0,,17:23857348-23857812,0.55,0.21,0.2580,ENSRNOG00000014007,Gfod1,0
1:72927006-72927468,0.44,0.362,0.445,ENSRNOG00000027942,Eps8l1,0,,5:164898323-164898730,0.71,0.211,0.2590,ENSRNOG00000008619,Agtrap,0
13:113762303-113762842,0.8,0.365,0.447,ENSRNOG00000057672,AC118802.1,1073,,10:87250052-87250457,0.88,0.212,0.2600,ENSRNOG00000033617,Krt26,1421
5:140162663-140162991,0.64,0.367,0.449,ENSRNOG00000027921,Rlf,22,,10:62014800-62015220,1.03,0.212,0.2600,ENSRNOG00000035516,Mir132,0
1:178663120-178663780,0.9,0.37,0.453,ENSRNOG00000058003,Spon1,0,,12:37714096-37714479,0.74,0.213,0.2610,ENSRNOG00000001074,Mphosph9,0
10:96663432-96663933,0.36,0.371,0.454,ENSRNOG00000024557,Cep112,0,,2:186140848-186141217,0.67,0.215,0.2630,ENSRNOG00000016550,Dclk2,0
6:45133211-45133556,0.45,0.371,0.454,ENSRNOG00000052993,AABR07063742.1,101,,12:17584279-17584687,0.43,0.215,0.2630,ENSRNOG00000021312,Dnaaf5,0
1:13582492-13583080,-0.35,0.373,0.455,ENSRNOG00000059393,U6,69,,1:70210593-70211065,0.51,0.216,0.2640,ENSRNOG00000054183,MIMT1_1,0
19:24216745-24217150,0.45,0.374,0.457,ENSRNOG00000003479,Rnf150,0,,3:127568853-127569386,0.61,0.218,0.2660,ENSRNOG00000024852,Tmx4,0
12:49518187-49518730,0.46,0.377,0.459,ENSRNOG00000052424,2900026A02Rik,0,,19:25181318-25181900,0.42,0.219,0.2670,ENSRNOG00000006049,Rfx1,0
1:55731117-55731649,0.46,0.376,0.459,ENSRNOG00000054834,AABR07001734.1,0,,20:13835794-13836221,0.57,0.221,0.2690,ENSRNOG00000001237,Cabin1,0
8:132790588-132791225,0.33,0.377,0.460,ENSRNOG00000006244,Lztfl1,0,,12:38783237-38783616,0.42,0.22,0.2690,ENSRNOG00000001342,Wdr66,1228
15:12835223-12835705,-0.53,0.379,0.461,ENSRNOG00000009206,Fezf2,3728,,7:12917860-12918190,0.7,0.221,0.2690,ENSRNOG00000008296,Tpgs1,0
16:20576145-20576455,-0.45,0.379,0.461,ENSRNOG00000019698,Ssbp4,1676,,1:181286603-181286963,-1.64,0.221,0.2690,ENSRNOG00000039241,Ythdc2,798936
20:48503937-48504401,0.32,0.38,0.462,ENSRNOG00000000581,Cdc40,0,,4:152391755-152392227,0.62,0.222,0.2700,ENSRNOG00000009264,Erc1,11572
6:109044395-109044806,0.33,0.38,0.462,ENSRNOG00000006467,Eif2b2,0,,9:10032493-10032889,0.54,0.223,0.2710,ENSRNOG00000047134,Gtf2f1,122
14:84392940-84393389,-0.48,0.382,0.463,ENSRNOG00000005218,Sf3a1,0,,1:65520649-65521615,0.51,0.225,0.2720,ENSRNOG00000027550,Mzf1,503
12:37210495-37211001,0.44,0.381,0.463,ENSRNOG00000021691,Ccdc92,315,,10:46486575-46486926,0.6,0.224,0.2720,ENSRNOG00000060588,AC128154.1,0
4:170429217-170429555,0.39,0.381,0.463,ENSRNOG00000053476,AABR07062350.1,43382,,10:47740934-47741377,0.81,0.226,0.2730,ENSRNOG00000002364,Rnf112,15763
1:56002295-56002700,-1.49,0.384,0.465,ENSRNOG00000013671,Vom2r9,106660,,1:181215129-181215784,1.27,0.225,0.2730,ENSRNOG00000039241,Ythdc2,870115
15:87861186-87861571,0.52,0.384,0.465,ENSRNOG00000050367,AABR07019093.1,13792,,1:100413408-100413780,0.51,0.228,0.2760,ENSRNOG00000019318,Syt3,5326
1:181215129-181215784,1.21,0.385,0.466,ENSRNOG00000039241,Ythdc2,870115,,12:3351287-3352058,-0.53,0.229,0.2770,ENSRNOG00000053067,AABR07035008.1,31107
8:28208341-28208688,0.46,0.386,0.467,ENSRNOG00000009149,Jam3,0,,5:141559953-141560274,0.85,0.234,0.2820,ENSRNOG00000017166,Mycbp,0
1:212547207-212547642,0.53,0.387,0.468,ENSRNOG00000018337,Caly,0,,11:33939471-33940027,0.49,0.236,0.2850,ENSRNOG00000051204,Dopey2,0
20:48747574-48747944,0.58,0.388,0.469,ENSRNOG00000000582,LOC100911156,0,,19:59599756-59600105,0.76,0.238,0.2870,ENSRNOG00000061610,AABR07044148.1,56124
6:76661664-76662065,0.51,0.389,0.469,ENSRNOG00000008225,AABR07064349.1,0,,7:143929397-143929839,0.58,0.239,0.2880,ENSRNOG00000013343,Myg1,0
5:164898323-164898730,0.5,0.39,0.471,ENSRNOG00000008619,Agtrap,0,,3:148438695-148439069,0.54,0.24,0.2890,ENSRNOG00000008596,Ttll9,0
3:165205960-165206516,0.35,0.394,0.475,ENSRNOG00000012175,Nfatc2,38722,,1:144601121-144601450,0.4,0.24,0.2890,ENSRNOG00000026296,Saxo2,0
10:47109541-47110127,0.55,0.396,0.476,ENSRNOG00000005360,Dhrs7b,0,,8:36607141-36607562,0.48,0.242,0.2910,ENSRNOG00000011789,Cdon,18171
7:122346872-122347281,0.39,0.399,0.480,ENSRNOG00000018803,Mkl1,0,,12:16928356-16928670,0.78,0.246,0.2950,ENSRNOG00000001277,Mafk,0
4:25538339-25538714,0.37,0.402,0.484,ENSRNOG00000006114,LOC100910867,0,,6:135304337-135305046,0.44,0.245,0.2950,ENSRNOG00000008035,Cinp,0
12:17584279-17584687,0.31,0.407,0.489,ENSRNOG00000021312,Dnaaf5,0,,5:148780926-148781270,0.46,0.245,0.2950,ENSRNOG00000011709,Pum1,0
10:105290063-105290514,0.38,0.408,0.489,ENSRNOG00000049862,Rnf157,2976,,5:160352803-160353388,0.4,0.247,0.2960,ENSRNOG00000012503,Dnajc16,0
1:11909529-11910435,0.91,0.407,0.489,ENSRNOG00000051831,5_8S_rRNA,2937,,19:47024479-47024819,0.8,0.248,0.2980,ENSRNOG00000012030,Wwox,253002
14:46655423-46655864,0.32,0.411,0.492,ENSRNOG00000054945,AABR07015081.2,0,,1:246110353-246110827,0.53,0.249,0.2980,ENSRNOG00000014486,Rfx3,136
6:7900809-7901277,0.4,0.415,0.496,ENSRNOG00000005151,Dync2li1,0,,1:82473588-82473988,0.43,0.249,0.2980,ENSRNOG00000028753,B9d2,0
3:148438695-148439069,0.39,0.414,0.496,ENSRNOG00000008596,Ttll9,0,,10:56154026-56154326,-0.59,0.249,0.2980,ENSRNOG00000052688,Dnah2,0
3:161211874-161212307,0.37,0.413,0.496,ENSRNOG00000042162,Wfdc3,0,,12:37210495-37211001,0.52,0.25,0.2990,ENSRNOG00000021691,Ccdc92,315
2:209358432-209358877,0.39,0.414,0.496,ENSRNOG00000052798,AABR07072775.1,0,,1:129244283-129244578,0.83,0.253,0.3020,ENSRNOG00000022822,Fam169b,10818
9:16543488-16543886,0.61,0.418,0.499,ENSRNOG00000016315,Cnpy3,0,,6:8346353-8347061,0.3,0.252,0.3020,ENSRNOG00000060905,AC111831.2,0
7:34484809-34485252,0.41,0.419,0.501,ENSRNOG00000055887,AABR07056643.2,0,,10:84976028-84976552,0.49,0.257,0.3060,ENSRNOG00000009902,Lrrc46,0
19:25925422-25925762,0.44,0.421,0.503,ENSRNOG00000033368,Dand5,4839,,10:89338821-89339230,0.4,0.257,0.3060,ENSRNOG00000023768,Rundc1,0
12:16928356-16928670,0.55,0.423,0.505,ENSRNOG00000001277,Mafk,0,,12:47551615-47552031,0.76,0.256,0.3060,ENSRNOG00000037566,RGD1560398,0
8:25669350-25669848,0.36,0.424,0.505,ENSRNOG00000026589,Dpy19l1,0,,1:65844956-65845411,0.51,0.256,0.3060,ENSRNOG00000045583,AABR07002068.1,0
10:106971168-106971591,0.33,0.426,0.507,ENSRNOG00000002946,Socs3,3587,,16:21770173-21770569,-0.56,0.257,0.3060,ENSRNOG00000051631,AABR07024907.1,1907
7:12819816-12820700,0.37,0.426,0.507,ENSRNOG00000009028,Rnf126,140,,7:23959630-23959988,0.52,0.26,0.3090,ENSRNOG00000004962,Prdm4,390
13:98649603-98649954,0.34,0.43,0.512,ENSRNOG00000002969,Itpkb,0,,14:79445320-79445759,0.79,0.26,0.3090,ENSRNOG00000006575,Ccdc96,0
9:65916962-65917290,0.42,0.431,0.513,ENSRNOG00000024085,Tmem237,0,,9:85528654-85529039,0.52,0.26,0.3090,ENSRNOG00000015080,Wdfy1,0
2:183810896-183811296,0.35,0.434,0.515,ENSRNOG00000061118,AABR07012047.1,0,,12:37425408-37425817,0.65,0.26,0.3090,ENSRNOG00000052704,Atp6v0a2,0
3:127568853-127569386,0.4,0.434,0.516,ENSRNOG00000024852,Tmx4,0,,10:47109541-47110127,0.75,0.261,0.3100,ENSRNOG00000005360,Dhrs7b,0
9:1411043-1411377,-0.85,0.437,0.518,ENSRNOG00000010637,Tbc1d5,0,,2:209358432-209358877,0.51,0.262,0.3110,ENSRNOG00000052798,AABR07072775.1,0
1:131455703-131456257,0.3,0.444,0.526,ENSRNOG00000010308,Nr2f2,0,,10:110110247-110110689,0.56,0.264,0.3120,ENSRNOG00000047531,Ccdc57,8376
1:222495198-222495676,0.31,0.444,0.526,ENSRNOG00000021179,Naa40,0,,10:59259959-59260340,0.42,0.266,0.3140,ENSRNOG00000016212,Ankfy1,0
1:180557984-180558496,0.37,0.445,0.527,ENSRNOG00000039241,Ythdc2,1527403,,5:141430619-141430918,0.62,0.268,0.3170,ENSRNOG00000026610,Akirin1,0
13:74024079-74024497,0.57,0.449,0.532,ENSRNOG00000004111,Soat1,10583,,1:226502014-226502346,0.53,0.268,0.3170,ENSRNOG00000030180,Lrrc10b,95
7:125833275-125833648,0.32,0.451,0.532,ENSRNOG00000013423,Npap60,0,,8:5429455-5429833,0.41,0.268,0.3170,ENSRNOG00000032070,Dync2h1,0
8:114300026-114300362,0.29,0.45,0.532,ENSRNOG00000013669,Pik3r4,0,,8:114300026-114300362,0.42,0.271,0.3200,ENSRNOG00000013669,Pik3r4,0
X:36469538-36469951,-0.59,0.452,0.534,ENSRNOG00000003588,AABR07037960.1,189078,,6:76661664-76662065,0.64,0.272,0.3210,ENSRNOG00000008225,AABR07064349.1,0
12:31335163-31335470,0.47,0.453,0.535,ENSRNOG00000000936,Stx2,0,,1:165122089-165122617,0.32,0.272,0.3210,ENSRNOG00000018411,Pold3,0
14:80355426-80355775,0.3,0.455,0.537,ENSRNOG00000008474,Acox3,7,,7:125833275-125833648,0.42,0.273,0.3220,ENSRNOG00000013423,Npap60,0
10:58776313-58776801,0.25,0.455,0.537,ENSRNOG00000014072,Txndc17,0,,6:107632915-107633280,0.43,0.275,0.3240,ENSRNOG00000010553,Pnma1,0
1:246619148-246619607,0.88,0.457,0.539,ENSRNOG00000014768,Glis3,0,,6:144123515-144123943,0.31,0.277,0.3260,ENSRNOG00000004520,Wdr60,0
16:20859131-20859484,0.51,0.459,0.540,ENSRNOG00000020142,Gdf1,0,,1:85113052-85113431,0.47,0.279,0.3280,ENSRNOG00000019254,Dyrk1b,0
13:82607518-82607916,0.29,0.462,0.544,ENSRNOG00000002884,Blzf1,140,,1:173780820-173781282,0.39,0.281,0.3310,ENSRNOG00000014629,Lmo1,16571
8:50309852-50310317,0.26,0.463,0.544,ENSRNOG00000045931,Sik3,88,,10:82192610-82193058,-0.4,0.283,0.3330,ENSRNOG00000060528,Cacna1g,0
13:33502599-33502970,0.58,0.466,0.547,ENSRNOG00000053423,N/A,645833,,1:56949415-56949830,0.39,0.284,0.3340,ENSRNOG00000015597,LOC100125364,0
16:20390726-20391128,0.47,0.468,0.550,ENSRNOG00000022753,Mast3,4717,,17:78817341-78817761,0.51,0.285,0.3350,ENSRNOG00000016283,Meig1,0
